timestamp,latitude,longitude,altitude,heading,airspeed,temperature,humidity,pressure,wind_speed,wind_direction,rain,microburst_probability,predicted_class
08:52:10,28.58500,76.99619,1492,44,119,29.8,59.6,1008.4,9.2,209,"Light Rain",30.4,WET
08:52:15,28.59000,77.00024,1470,44,119,29.5,60.8,1008.1,9.6,212,"Light Rain",32.8,WET
08:52:20,28.59500,77.00429,1448,45,118,29.3,62.1,1007.8,10.1,215,"Light Rain",35.1,WET
08:52:25,28.60000,77.00833,1426,45,118,29.1,63.4,1007.5,10.6,217,"Moderate Rain",37.5,WET
08:52:30,28.60500,77.01238,1404,45,118,28.8,64.6,1007.2,11.0,220,"Moderate Rain",39.9,WET
08:52:35,28.61000,77.01643,1382,45,117,28.6,65.9,1006.9,11.5,223,"Moderate Rain",42.2,WET
08:52:40,28.61500,77.02048,1360,45,117,28.4,67.2,1006.6,12.0,226,"Moderate Rain",44.6,WET
08:52:45,28.62000,77.02452,1338,45,117,28.1,68.4,1006.3,12.4,228,"Moderate Rain",46.9,WET
08:52:50,28.62500,77.02857,1316,45,116,27.9,69.7,1006.0,12.9,231,"Moderate Rain",49.3,WET
08:52:55,28.63000,77.03262,1294,45,116,27.7,71.0,1005.7,13.4,234,"Moderate Rain",51.6,WET
08:53:00,28.63500,77.03667,1272,46,116,27.4,72.2,1005.4,13.8,237,"Moderate Rain",54.0,WET
08:53:05,28.64000,77.04071,1250,46,115,27.2,73.5,1005.1,14.3,239,"Moderate Rain",56.4,WET
08:53:10,28.64500,77.04476,1228,46,115,27.0,74.8,1004.8,14.8,242,"Moderate Rain",58.7,WET
08:53:15,28.65000,77.04881,1206,46,115,26.7,76.0,1004.5,15.2,245,"Moderate Rain",61.1,WET
08:53:20,28.65500,77.05286,1184,46,114,26.5,77.3,1004.2,15.7,248,"Moderate Rain",63.4,WET
08:53:25,28.66000,77.05690,1162,46,114,26.3,78.6,1003.9,16.2,250,"Moderate Rain",65.8,WET
08:53:30,28.66500,77.06095,1140,46,114,26.0,79.8,1003.6,16.6,253,"Moderate Rain",68.1,WET
08:53:35,28.67000,77.06500,1118,46,114,25.8,81.0,1003.4,17.1,256,"Moderate Rain",70.5,WET
08:53:40,28.67380,77.07360,1085,49,113,25.1,83.4,1002.3,18.9,265,"Heavy Downpour",75.2,WET
08:53:45,28.67750,77.07730,1050,52,112,24.6,85.2,1001.2,20.4,274,"Heavy Downpour",79.8,WET
08:53:50,28.68130,77.08090,1015,55,111,24.1,87.0,1000.1,21.8,283,"Heavy Downpour",84.1,WET
08:53:55,28.68500,77.08460,980,58,110,23.6,88.8,999.0,23.3,292,"Heavy Downpour",88.4,WET
08:54:00,28.68880,77.08820,945,61,109,23.1,90.6,998.0,24.8,301,"Heavy Downpour",91.8,WET
08:54:05,28.69250,77.09190,910,64,108,22.6,92.4,997.3,26.2,310,"Heavy Downpour",94.5,WET
08:54:10,28.69630,77.09550,880,68,106,22.0,94.2,996.9,27.5,319,"Heavy Downpour",96.4,WET
08:54:15,28.70000,77.09920,860,71,105,21.6,95.8,996.8,28.4,328,"Heavy Downpour",97.2,WET
08:54:20,28.70380,77.10280,850,75,103,21.4,96.5,996.9,28.7,337,"Heavy Downpour",96.8,WET
08:54:25,28.70560,77.10640,860,80,103,21.7,95.5,997.2,28.1,346,"Heavy Downpour",95.4,WET
08:54:30,28.70750,77.11000,880,85,104,22.1,94.0,997.8,27.0,355,"Heavy Downpour",93.2,WET
08:54:35,28.70940,77.11360,910,90,105,22.6,92.2,998.5,25.6,4,"Heavy Downpour",90.1,WET
08:54:40,28.71130,77.11720,945,95,106,23.1,90.4,999.3,24.1,13,"Heavy Downpour",86.5,WET
08:54:45,28.71310,77.12080,985,100,107,23.6,88.5,1000.2,22.5,22,"Heavy Downpour",82.4,WET
08:54:50,28.71500,77.12440,1030,105,108,24.1,86.5,1001.2,20.8,31,"Heavy Downpour",77.9,WET
08:54:55,28.71690,77.12800,1080,110,110,24.6,84.5,1002.2,19.1,40,"Heavy Downpour",73.1,WET
08:55:00,28.71800,77.13500,1130,115,112,25.1,82.5,1003.2,17.5,49,"Moderate Rain",68.0,WET
08:55:05,28.71140,77.14350,1185,117,114,25.6,80.5,1004.1,16.0,58,"Moderate Rain",62.6,WET
08:55:10,28.70480,77.15190,1240,119,116,26.1,78.5,1005.0,14.6,67,"Moderate Rain",57.0,WET
08:55:15,28.69820,77.16040,1295,121,118,26.5,76.5,1005.9,13.2,76,"Moderate Rain",51.2,WET
08:55:20,28.69160,77.16890,1350,123,120,27.0,74.5,1006.7,11.9,85,"Light Rain",45.3,WET
08:55:25,28.68500,77.17730,1405,125,122,27.4,72.5,1007.5,10.7,94,"Light Rain",39.4,DRY
08:55:30,28.67840,77.18580,1455,127,124,27.9,70.5,1008.3,9.5,103,"Light Rain",33.6,DRY
08:55:35,28.67180,77.19430,1505,129,126,28.3,68.5,1009.0,8.4,112,"Light Rain",27.9,DRY
08:55:40,28.66520,77.20270,1550,131,128,28.8,66.5,1009.7,7.4,121,"No",22.4,NORM
08:55:45,28.65860,77.21120,1590,133,130,29.2,64.5,1010.3,6.5,130,"No",17.2,NORM
08:55:50,28.65200,77.21970,1625,135,132,29.6,62.5,1010.9,5.7,139,"No",12.4,NORM
08:55:55,28.64540,77.22810,1650,137,134,30.0,60.5,1011.5,5.1,148,"No",8.2,NORM
08:56:00,28.63880,77.23660,1660,139,136,30.4,58.5,1012.0,4.6,157,"No",5.4,NORM
08:56:05,28.63220,77.24510,1660,141,137,30.7,56.5,1012.5,4.3,166,"No",4.2,NORM
08:56:10,28.62560,77.25350,1660,143,138,31.0,54.5,1012.9,4.2,175,"No",4.2,NORM
08:56:15,28.61900,77.26200,1660,145,139,31.3,52.5,1013.2,4.1,184,"No",4.2,NORM
08:56:20,28.61240,77.27050,1660,145,140,31.5,50.5,1013.4,4.0,190,"No",4.2,NORM
